,week,Species,Zip,Trap Type,total_male,total_female,total,wnv,sle
0,2026-05-04,Aeab,77003,BG,2.0,6.0,8.0,0,0
1,2026-05-04,Aeab,77009,BG,0.0,2.0,2.0,0,0
2,2026-05-04,Aeab,77013,BG,0.0,5.0,5.0,0,0
3,2026-05-04,Aeab,77014,BG,60.0,60.0,120.0,0,0
4,2026-05-04,Aeab,77020,BG,0.0,1.0,1.0,0,0
5,2026-05-04,Aeab,77024,BG,0.0,1.0,1.0,0,0
6,2026-05-04,Aeab,77028,BG,1.0,2.0,3.0,0,0
7,2026-05-04,Aeab,77030,BG,1.0,1.0,2.0,0,0
8,2026-05-04,Aeab,77032,BG,16.0,35.0,51.0,0,0
9,2026-05-04,Aeab,77033,BG,0.0,2.0,2.0,0,0
10,2026-05-04,Aeab,77034,BG,18.0,29.0,47.0,0,0
11,2026-05-04,Aeab,77041,BG,0.0,1.0,1.0,0,0
12,2026-05-04,Aeab,77061,BG,0.0,4.0,4.0,0,0
13,2026-05-04,Aeab,77075,BG,23.0,49.0,72.0,0,0
14,2026-05-04,Aeab,77083,BG,1.0,1.0,2.0,0,0
15,2026-05-04,Aeab,77093,BG,9.0,19.0,28.0,0,0
16,2026-05-04,Aeab,77096,BG,0.0,1.0,1.0,0,0
17,2026-05-04,Aeab,77338,BG,9.0,19.0,28.0,0,0
18,2026-05-04,Aeab,77373,BG,5.0,23.0,28.0,0,0
19,2026-05-04,Aeab,77379,BG,0.0,1.0,1.0,0,0
20,2026-05-04,Aeab,77396,BG,12.0,10.0,22.0,0,0
21,2026-05-04,Aeab,77429,BG,0.0,1.0,1.0,0,0
22,2026-05-04,Aeab,77433,BG,0.0,1.0,1.0,0,0
23,2026-05-04,Aeab,77447,BG,0.0,3.0,3.0,0,0
24,2026-05-04,Aeab,77450,BG,0.0,1.0,1.0,0,0
25,2026-05-04,Aeab,77520,BG,0.0,1.0,1.0,0,0
26,2026-05-04,Aeab,77536,BG,3.0,22.0,25.0,0,0
27,2026-05-04,Aeae,77014,BG,17.0,13.0,30.0,0,0
28,2026-05-04,Aeae,77028,BG,0.0,4.0,4.0,0,0
29,2026-05-04,Aeae,77032,BG,0.0,3.0,3.0,0,0
30,2026-05-04,Aeae,77034,BG,0.0,4.0,4.0,0,0
31,2026-05-04,Aeae,77061,BG,2.0,0.0,2.0,0,0
32,2026-05-04,Aeae,77064,BG,0.0,1.0,1.0,0,0
33,2026-05-04,Aeae,77075,BG,1.0,7.0,8.0,0,0
34,2026-05-04,Aeae,77093,BG,0.0,16.0,16.0,0,0
35,2026-05-04,Aeae,77338,BG,3.0,6.0,9.0,0,0
36,2026-05-04,Aeae,77339,BG,0.0,2.0,2.0,0,0
37,2026-05-04,Aeae,77396,BG,8.0,14.0,22.0,0,0
38,2026-05-04,Aeae,77536,BG,0.0,2.0,2.0,0,0
39,2026-05-04,Cxqf,77003,BG,18.0,425.0,443.0,0,0
40,2026-05-04,Cxqf,77009,BG,116.0,1076.0,1192.0,0,0
41,2026-05-04,Cxqf,77013,BG,154.0,2176.0,2330.0,0,0
42,2026-05-04,Cxqf,77014,BG,30.0,317.0,347.0,0,0
43,2026-05-04,Cxqf,77020,BG,6.0,195.0,201.0,0,0
44,2026-05-04,Cxqf,77024,BG,49.0,76.0,125.0,0,0
45,2026-05-04,Cxqf,77028,BG,41.0,1577.0,1618.0,0,0
46,2026-05-04,Cxqf,77030,BG,9.0,48.0,57.0,0,0
47,2026-05-04,Cxqf,77032,BG,129.0,828.0,957.0,0,0
48,2026-05-04,Cxqf,77033,BG,18.0,249.0,267.0,0,0
49,2026-05-04,Cxqf,77034,BG,491.0,5000.0,5491.0,0,0
50,2026-05-04,Cxqf,77041,BG,24.0,264.0,288.0,0,0
51,2026-05-04,Cxqf,77061,BG,122.0,1440.0,1562.0,0,0
52,2026-05-04,Cxqf,77064,BG,82.0,384.0,466.0,0,0
53,2026-05-04,Cxqf,77075,BG,84.0,1923.0,2007.0,0,0
54,2026-05-04,Cxqf,77083,BG,16.0,534.0,550.0,0,0
55,2026-05-04,Cxqf,77093,BG,12.0,189.0,201.0,0,0
56,2026-05-04,Cxqf,77096,BG,43.0,388.0,431.0,0,0
57,2026-05-04,Cxqf,77338,BG,38.0,744.0,782.0,0,0
58,2026-05-04,Cxqf,77339,BG,9.0,164.0,173.0,0,0
59,2026-05-04,Cxqf,77379,BG,15.0,819.0,834.0,0,0
60,2026-05-04,Cxqf,77396,BG,62.0,145.0,207.0,0,0
61,2026-05-04,Cxqf,77429,BG,7.0,231.0,238.0,0,0
62,2026-05-04,Cxqf,77433,BG,13.0,183.0,196.0,0,0
63,2026-05-04,Cxqf,77447,BG,82.0,1195.0,1277.0,0,0
64,2026-05-04,Cxqf,77450,BG,72.0,773.0,845.0,0,0
65,2026-05-04,Cxqf,77520,BG,86.0,518.0,604.0,0,0
66,2026-05-04,Cxqf,77532,BG,40.0,294.0,334.0,0,0
67,2026-05-04,Cxqf,77536,BG,45.0,546.0,591.0,0,0
68,2026-05-11,Aeab,77006,GV,0.0,2.0,2.0,0,0
69,2026-05-11,Aeab,77007,GV,0.0,10.0,10.0,0,0
70,2026-05-11,Aeab,77008,GV,0.0,4.0,4.0,0,0
71,2026-05-11,Aeab,77009,BG,0.0,2.0,2.0,0,0
72,2026-05-11,Aeab,77009,GV,0.0,6.0,6.0,0,0
73,2026-05-11,Aeab,77013,BG,32.0,80.0,112.0,0,0
74,2026-05-11,Aeab,77017,GV,0.0,3.0,3.0,0,0
75,2026-05-11,Aeab,77018,GV,0.0,4.0,4.0,0,0
76,2026-05-11,Aeab,77030,GV,1.0,6.0,7.0,0,0
77,2026-05-11,Aeab,77032,GV,1.0,5.0,6.0,0,0
78,2026-05-11,Aeab,77033,BG,1.0,1.0,2.0,0,0
79,2026-05-11,Aeab,77034,BG,6.0,7.0,13.0,0,0
80,2026-05-11,Aeab,77034,GV,0.0,4.0,4.0,0,0
81,2026-05-11,Aeab,77041,GV,62.0,34.0,96.0,0,0
82,2026-05-11,Aeab,77045,GV,0.0,3.0,3.0,0,0
83,2026-05-11,Aeab,77049,GV,4.0,3.0,7.0,0,0
84,2026-05-11,Aeab,77061,BG,58.0,53.0,111.0,0,0
85,2026-05-11,Aeab,77061,GV,0.0,4.0,4.0,0,0
86,2026-05-11,Aeab,77073,GV,1.0,1.0,2.0,0,0
87,2026-05-11,Aeab,77075,BG,36.0,39.0,75.0,0,0
88,2026-05-11,Aeab,77082,GV,0.0,2.0,2.0,0,0
89,2026-05-11,Aeab,77083,GV,0.0,2.0,2.0,0,0
90,2026-05-11,Aeab,77084,GV,103.0,161.0,264.0,0,0
91,2026-05-11,Aeab,77087,GV,0.0,2.0,2.0,0,0
92,2026-05-11,Aeab,77093,GV,0.0,2.0,2.0,0,0
93,2026-05-11,Aeab,77094,GV,0.0,1.0,1.0,0,0
94,2026-05-11,Aeab,77099,GV,1.0,2.0,3.0,0,0
95,2026-05-11,Aeab,77338,GV,11.0,104.0,115.0,0,0
96,2026-05-11,Aeab,77339,BG,13.0,31.0,44.0,0,0
97,2026-05-11,Aeab,77373,GV,0.0,3.0,3.0,0,0
98,2026-05-11,Aeab,77401,GV,1.0,0.0,1.0,0,0
99,2026-05-11,Aeab,77433,BG,1.0,2.0,3.0,0,0
100,2026-05-11,Aeab,77433,GV,0.0,1.0,1.0,0,0
101,2026-05-11,Aeab,77493,GV,0.0,7.0,7.0,0,0
102,2026-05-11,Aeab,77502,GV,0.0,6.0,6.0,0,0
103,2026-05-11,Aeab,77506,GV,2.0,0.0,2.0,0,0
104,2026-05-11,Aeab,77507,GV,0.0,1.0,1.0,0,0
105,2026-05-11,Aeab,77532,GV,49.0,345.0,394.0,0,0
106,2026-05-11,Aeab,77571,GV,0.0,7.0,7.0,0,0
107,2026-05-11,Aeae,77013,BG,9.0,5.0,14.0,0,0
