,TRACT,hurs,time,ppt,tmax,tmean,tmin,twbs
0,77565,71.8528698906402,2026-01-05,0.0,21.907826775214208,16.463100531582086,11.018167038724567,13.238278691428132
1,77565,77.25229983189884,2026-01-12,0.284556320955155,23.08987711949154,19.119752804701108,15.149371595496968,16.53799259583631
2,77565,51.591630029988316,2026-01-19,0.0,16.17610028778817,11.4342014277231,6.692463079018267,6.546894655411099
3,77565,89.05542040197977,2026-01-26,10.31197908502658,14.711123307374244,11.581232690329724,8.451297293919907,10.490713776354076
4,77565,66.3276541333444,2026-02-02,0.0,10.486504760360935,6.181351666784614,1.876406561352705,3.131715628536893
5,77565,72.07589640025992,2026-02-09,3.001593918927335,20.129979653756013,14.896607025089775,9.663299256000318,11.75658550643852
6,77565,85.609404848813,2026-02-16,3.247150331953503,22.818661413558644,18.91632221575885,15.013950709070924,17.17075834034663
7,77565,72.91498182590038,2026-02-23,0.0,23.642680133485914,19.511782967192968,15.380889885532572,16.31074416947417
8,77565,72.05570537886828,2026-03-02,0.0,23.076197328107767,18.627665264022355,14.179016565123655,15.341390548608047
9,77565,86.74325485594063,2026-03-09,12.111501179154628,25.21248229894147,22.87480116518665,20.53744751473616,21.169200678932075
10,77565,74.21869172333432,2026-03-16,1.373248961684647,24.87382073706393,19.964601355355896,15.05520486014489,16.85927648315139
11,77565,63.18732817244264,2026-03-23,0.0,21.902959906298808,17.14991967263535,12.396731395925496,13.117846355003586
12,77565,74.78254426082945,2026-03-30,0.0,26.04704030057803,22.034107023133092,18.021202660044963,18.820556236445444
13,77565,78.44355813741718,2026-04-06,1.711327351441396,26.058180729521734,23.431042697599374,20.803897506825695,20.643045032463032
14,77565,71.8613731239048,2026-04-13,0.23791892727514,25.07595089685908,22.288666007620776,19.50117959645038,18.716132522476148
15,77565,76.3870400392353,2026-04-20,9.635597349358111,26.842709195915,23.266671415001245,19.690509057031775,20.22275735511832
16,77565,82.89060814318448,2026-04-27,3.795577032074598,26.076274798120824,23.721775341226312,21.367055917506484,21.495262808735834
17,77565,73.93319658002868,2026-05-04,13.366290063479449,26.824598779646465,23.357388927257077,19.89011761439866,19.95914973582597
18,77565,86.040945868529,2026-05-11,0.759743905480582,27.1998961462218,23.89139734932942,20.583038561956233,22.061521809297282
19,77565,75.28903093387206,2026-05-18,0.10087616486866,28.908399568903484,25.549104308060187,22.18978082739117,22.19510487801731
20,77565,85.62219014133042,2026-05-25,21.11520171511711,27.95330457184081,24.859563388957277,21.765758119167778,22.95884092829014
21,77565,79.13768175961106,2026-06-01,5.697954446941956,30.054540851100523,26.24892878460772,22.443279322886937,23.379673002322946
22,77565,83.35498613978766,2026-06-08,22.766402840524346,30.03503631743991,27.385606201634626,24.735777969776706,25.090224111577786
23,77565,78.47881283474922,2026-06-15,0.598512207084398,31.717703081568324,29.33758313716125,26.95771057970711,26.265914524590034
24,77565,87.54637183125499,2026-06-22,39.48120752267024,30.28909955567485,27.707792149875903,25.127039640537262,25.986833402483995
25,77565,75.43099408813265,2026-06-29,0.0,32.67131272397707,29.621198561788468,26.571339159625268,26.075254809907353
34,77573,69.6761217671345,2026-01-05,0.0,23.336756526942587,16.09438857151994,8.851924360929523,12.630912445883652
35,77573,76.30820037360591,2026-01-12,0.555134049077256,23.811903039038103,18.714486309161945,13.617037052051309,16.04489020012761
36,77573,50.953939293187574,2026-01-19,0.0,17.2739141087165,10.702728060622933,4.131546005202507,5.867035829832923
